amount,hour_of_day,day_of_week,merchant_bucket,merchant_name,category
517.1,22,1,0,KFC,food
1072.01,19,0,7,PVR Cinemas,entertainment
2588.65,19,1,5,Airtel,bills
1917.38,13,2,5,Electricity Bill,bills
350.34,15,2,3,Auto Rickshaw,entertainment
420.91,21,3,3,Uber,food
56.02,23,0,2,IndiGo,transport
4945.59,9,2,5,LIC Premium,bills
1719.27,11,6,6,BookMyShow,transport
655.09,1,0,5,Airtel,bills
177.76,14,4,2,Rapido,transport
1987.96,10,1,5,Airtel,bills
253.87,12,5,1,Dunzo,food
314.81,22,5,6,INOX,entertainment
169.55,13,4,1,Pizza Hut,food
444.4,12,6,7,Nykaa,entertainment
3485.11,23,1,5,Spotify,bills
1786.43,14,0,7,PVR Cinemas,entertainment
59.27,21,4,1,Burger King,food
4891.69,21,6,9,1mg,other
3562.49,3,3,5,Amazon Prime,bills
344.62,12,1,2,Ola Electric,transport
367.37,20,1,9,Google Pay,other
2529.59,5,0,9,Reliance Fresh,other
1943.28,1,4,7,Myntra,entertainment
213.57,7,0,2,Indian Railways,transport
951.39,15,3,7,Crossword,entertainment
3776.89,0,0,5,LIC Premium,bills
1143.29,2,6,6,Decathlon,entertainment
1592.53,16,4,8,Zepto,other
476.17,11,6,3,RedBus,transport
390.84,17,6,1,Pizza Hut,food
3320.12,22,3,9,D-Mart,other
306.02,20,6,0,Swiggy,transport
3569.76,1,1,5,HDFC EMI,bills
303.23,19,1,6,Ajio,entertainment
123.48,6,5,2,Indian Railways,transport
422.25,20,6,4,ICICI EMI,bills
2307.47,21,4,8,More Supermarket,other
121.25,23,0,9,Paytm,other
2967.09,16,6,9,Reliance Fresh,other
370.64,4,0,2,Rapido,transport
1777.12,16,3,7,Crossword,entertainment
619.83,10,2,7,Steam,entertainment
884.22,22,5,6,INOX,entertainment
2784.25,10,5,9,D-Mart,other
1127.59,22,2,9,1mg,other
4910.39,20,1,4,BSNL,bills
1679.67,3,6,8,Zepto,other
2938.63,21,5,5,Society Maintenance,bills
643.26,13,6,6,Decathlon,entertainment
335.65,1,5,0,Swiggy,food
639.15,9,5,0,Subway,food
3514.55,9,1,4,Jio,bills
3118.93,21,5,9,Flipkart,entertainment
3270.89,12,1,9,D-Mart,other
3511.03,22,5,8,Big Bazaar,other
362.42,21,2,0,Blinkit,food
3140.75,14,6,9,1mg,bills
196.52,18,4,2,Ola Electric,transport
4825.02,9,3,9,D-Mart,other
109.75,5,5,3,Uber,transport
2199.69,17,2,8,Amazon,other
22.71,14,5,2,BMTC,transport
44.41,20,4,3,Air India,bills
2840.32,2,6,5,Society Maintenance,bills
2698.43,16,1,4,BSNL,bills
274.7,7,1,6,Ajio,entertainment
1247.76,19,4,4,Water Bill,bills
317.97,11,3,6,BookMyShow,entertainment
460.93,7,0,3,Air India,transport
4735.89,12,2,4,Hotstar,bills
4565.55,11,4,8,Amazon,other
1552.53,20,1,8,Amazon,other
1002.66,17,4,5,Airtel,bills
552.75,6,6,1,Dominos,food
1121.73,22,5,7,Steam,entertainment
1519.09,4,0,7,PVR Cinemas,entertainment
266.29,1,1,6,BookMyShow,entertainment
4143.59,8,3,5,Society Maintenance,bills
922.75,0,3,6,Ajio,entertainment
590.21,2,6,0,Tea Stall,food
4647.43,3,2,9,HDFC Bank ATM,food
3873.08,14,3,4,Water Bill,bills
1000.58,17,1,6,BookMyShow,entertainment
161.59,20,1,2,IndiGo,transport
4833.72,23,5,4,YouTube Premium,bills
2856.47,17,1,4,Jio,bills
345.56,17,0,1,BigBasket,other
4536.93,11,1,5,Amazon Prime,bills
370.66,5,1,6,Decathlon,entertainment
661.65,21,6,9,1mg,other
3780.1,17,3,9,Reliance Fresh,other
581.19,23,4,8,Practo,food
343.61,20,1,7,Myntra,entertainment
725.09,10,3,1,Zomato,food
1417.57,4,4,6,PlayStation Store,entertainment
4797.43,5,0,9,HDFC Bank ATM,other
3618.27,20,3,5,Electricity Bill,bills
3461.66,10,3,4,BSNL,bills
1025.25,3,1,6,PlayStation Store,entertainment
4149.57,17,1,9,Reliance Fresh,bills
566.1,2,0,4,Netflix,bills
2951.26,12,6,9,Reliance Fresh,other
2802.81,17,4,8,Amazon,other
795.06,7,6,6,INOX,entertainment
756.02,16,4,8,Practo,other
57.94,7,6,0,Swiggy Instamart,food
2619.27,14,1,8,Big Bazaar,other
336.52,4,5,3,Air India,transport
515.76,15,1,6,BookMyShow,entertainment
82.11,6,4,1,Dominos,food
2381.74,1,0,4,YouTube Premium,bills
3240.76,8,6,4,Gas Bill,bills
1033.65,20,3,5,Society Maintenance,bills
4210.09,16,2,4,YouTube Premium,bills
1081.11,11,6,7,Steam,entertainment
4458.31,0,4,5,LIC Premium,bills
57.0,20,2,3,Auto Rickshaw,transport
193.87,22,6,2,Rapido,transport
658.38,23,0,0,Blinkit,food
500.34,5,5,7,Nykaa,entertainment
1189.62,5,1,6,INOX,food
373.97,8,1,8,Apollo Pharmacy,other
4849.29,20,0,9,Google Pay,other
2355.63,15,6,5,Electricity Bill,bills
1241.59,18,6,6,Ajio,entertainment
146.97,23,5,2,IndiGo,transport
3034.45,7,3,5,Society Maintenance,bills
484.46,16,5,6,BookMyShow,entertainment
282.97,15,4,7,Crossword,entertainment
3786.68,2,3,8,PhonePe,other
417.21,21,5,2,IndiGo,transport
1762.17,22,4,7,Myntra,entertainment
1600.16,12,2,7,Nykaa,entertainment
3831.54,22,4,8,More Supermarket,other
407.86,7,6,0,KFC,food
457.8,8,1,0,Haldirams,food
55.34,16,0,0,Subway,food
4041.01,13,2,9,D-Mart,transport
489.03,8,6,0,Tea Stall,food
3098.22,21,3,9,HDFC Bank ATM,other
251.58,11,4,2,IndiGo,transport
2930.49,22,3,8,Practo,other
77.16,7,3,2,Ola Electric,transport
212.27,10,6,2,IndiGo,transport
3563.27,5,3,8,Zepto,other
159.0,19,3,1,Pizza Hut,food
110.03,1,5,1,Burger King,transport
1266.53,16,2,6,Ajio,entertainment
2522.41,0,1,8,Zepto,transport
3941.4,16,4,8,Amazon,other
37.31,7,5,2,Ola Electric,transport
797.61,12,2,1,Zomato,food
1083.71,23,5,7,Steam,entertainment
263.37,17,4,0,Swiggy Instamart,food
1526.51,19,1,5,Spotify,bills
108.84,5,3,7,Crossword,entertainment
2565.53,10,0,9,Flipkart,other
2735.73,18,2,8,More Supermarket,other
1018.9,7,6,7,Crossword,entertainment
3471.34,18,6,5,LIC Premium,bills
100.67,20,6,0,KFC,food
404.08,13,2,3,Auto Rickshaw,transport
4177.67,7,2,9,D-Mart,other
665.81,2,4,1,Chai Point,food
124.91,18,2,3,Namma Metro,transport
466.52,6,3,2,Ola Electric,transport
438.92,6,1,3,Auto Rickshaw,transport
190.89,3,0,3,Air India,transport
419.5,0,6,0,Tea Stall,food
2463.23,19,2,9,Reliance Fresh,other
1750.66,15,1,7,Crossword,entertainment
3775.83,4,0,9,1mg,other
4704.31,1,4,9,Paytm,other
3924.11,14,0,4,Netflix,bills
141.25,21,1,9,D-Mart,other
787.04,8,1,7,Myntra,entertainment
2409.59,19,2,8,Practo,other
1209.77,22,6,4,ICICI EMI,bills
1541.5,5,4,4,ICICI EMI,bills
129.71,3,5,2,Ola Electric,transport
2274.08,12,1,4,Gas Bill,bills
247.03,0,1,2,Rapido,transport
1114.57,10,6,6,Decathlon,entertainment
1731.15,1,3,6,Decathlon,entertainment
211.6,8,3,0,Swiggy,food
244.83,11,4,1,Burger King,food
1786.29,13,0,8,Practo,other
1154.2,18,5,5,Society Maintenance,bills
1494.58,10,5,8,Big Bazaar,other
2289.96,2,3,9,D-Mart,other
4787.31,5,5,8,Zepto,other
2943.43,2,0,5,Society Maintenance,bills
172.1,9,5,3,Namma Metro,transport
1501.26,14,6,4,ICICI EMI,bills
4834.49,13,1,4,Gas Bill,bills
369.33,21,2,2,Rapido,transport
127.26,2,3,0,Blinkit,food
3848.48,2,0,8,PhonePe,entertainment
3342.85,12,2,5,Airtel,bills
232.72,4,1,2,BMTC,transport
272.26,11,6,8,Amazon,other
4879.89,17,2,5,LIC Premium,bills
2742.51,18,4,9,D-Mart,other
926.46,20,5,7,Crossword,entertainment
2460.09,7,6,9,HDFC Bank ATM,other
359.15,4,2,1,Burger King,food
265.07,17,0,1,Burger King,transport
669.26,13,6,7,Nykaa,entertainment
233.65,11,1,4,Hotstar,bills
850.03,5,5,6,Ajio,entertainment
599.66,13,5,7,Steam,entertainment
407.64,21,2,3,Air India,transport
4082.09,13,1,4,Gas Bill,bills
132.77,14,4,0,KFC,food
1034.79,10,0,7,Crossword,entertainment
109.25,3,2,2,Ola,other
3689.84,7,0,5,LIC Premium,bills
221.72,15,2,3,Namma Metro,transport
727.47,4,0,6,BookMyShow,entertainment
2806.86,5,1,5,Airtel,bills
259.57,22,1,5,Spotify,bills
569.61,1,1,7,Nykaa,entertainment
1090.16,6,3,7,PVR Cinemas,entertainment
1878.81,5,5,6,PlayStation Store,entertainment
440.69,8,3,0,Swiggy Instamart,food
449.07,21,1,4,YouTube Premium,bills
293.39,5,6,0,Blinkit,food
3987.68,0,0,4,ICICI EMI,bills
3473.19,4,2,9,Paytm,other
118.55,19,2,1,Dunzo,food
452.26,3,1,1,Chai Point,transport
1598.27,11,6,6,Decathlon,entertainment
1409.57,11,5,6,BookMyShow,entertainment
252.95,14,4,2,Ola,transport
1110.11,5,4,5,LIC Premium,bills
1520.83,19,6,5,LIC Premium,bills
859.62,9,6,8,PhonePe,other
202.46,20,4,5,LIC Premium,bills
1277.5,11,6,6,BookMyShow,entertainment
410.37,17,6,9,D-Mart,other
1554.89,4,4,7,Nykaa,entertainment
1745.04,3,4,4,Netflix,bills
705.12,6,0,0,McDonald's,transport
1184.92,12,5,6,BookMyShow,entertainment
586.28,11,1,7,Crossword,entertainment
4658.03,6,5,8,Amazon,other
989.31,20,0,7,PVR Cinemas,entertainment
2195.99,11,6,4,YouTube Premium,bills
446.77,23,0,0,KFC,food
665.27,23,1,4,Gas Bill,transport
2678.34,7,4,9,1mg,other
219.29,3,6,2,IndiGo,transport
3542.5,13,0,9,Paytm,other
212.75,10,5,2,IndiGo,transport
232.65,11,2,3,Air India,transport
4239.78,13,6,9,HDFC Bank ATM,other
1255.99,18,4,7,Myntra,entertainment
464.55,8,2,2,IndiGo,transport
100.37,1,2,6,Ajio,entertainment
1579.02,9,1,8,More Supermarket,transport
390.33,22,6,2,Ola,transport
2869.91,18,1,4,Gas Bill,bills
153.81,11,4,0,McDonald's,bills
64.11,12,4,2,BMTC,transport
400.59,5,3,3,Namma Metro,transport
3016.63,9,0,9,Flipkart,other
374.02,10,2,8,Big Bazaar,other
1752.59,7,5,7,PVR Cinemas,entertainment
3909.35,12,0,8,Zepto,other
2791.2,4,2,5,HDFC EMI,bills
347.55,23,3,8,Apollo Pharmacy,other
1058.99,7,3,7,Crossword,entertainment
833.64,2,3,4,BSNL,bills
2056.04,2,3,8,PhonePe,other
738.84,4,3,9,D-Mart,other
3296.02,6,4,8,SBI ATM,other
1306.6,2,2,8,PhonePe,other
270.23,21,3,7,Crossword,entertainment
709.4,19,5,7,Steam,entertainment
790.74,19,6,0,McDonald's,food
185.27,7,1,7,Nykaa,entertainment
4293.12,3,5,5,Amazon Prime,bills
745.05,9,0,1,BigBasket,food
1663.87,15,0,5,Airtel,bills
1216.21,17,4,4,Gas Bill,bills
3703.36,4,5,5,Society Maintenance,bills
547.65,1,2,0,Haldirams,food
150.22,14,5,3,Air India,transport
689.06,21,2,0,Tea Stall,bills
784.84,16,5,1,Dominos,entertainment
700.08,17,0,1,Dunzo,food
289.13,22,0,3,RedBus,transport
278.7,15,3,0,Swiggy Instamart,food
320.11,7,4,3,Namma Metro,bills
1436.12,12,6,4,Netflix,bills
219.19,10,3,0,KFC,food
481.09,19,6,2,IndiGo,entertainment
93.32,9,4,3,Air India,transport
1191.64,4,4,4,BSNL,bills
4326.68,9,5,9,1mg,other
4978.86,4,5,8,SBI ATM,other
432.29,17,5,9,HDFC Bank ATM,other
709.73,23,0,1,Pizza Hut,food
4813.7,9,3,4,ICICI EMI,bills
711.61,5,0,5,Electricity Bill,bills
2878.51,7,4,9,Google Pay,other
192.45,22,6,2,Ola,transport
990.65,20,2,7,Crossword,entertainment
247.45,5,1,3,RedBus,transport
476.1,7,5,2,BMTC,food
105.0,14,6,3,Uber,transport
4347.2,7,3,9,HDFC Bank ATM,other
1497.13,12,5,7,Crossword,entertainment
2944.86,17,4,5,Amazon Prime,bills
392.68,1,1,1,Dunzo,food
292.33,12,4,9,D-Mart,other
348.53,9,6,1,Dunzo,food
1612.51,1,5,4,ICICI EMI,bills
4166.48,14,0,9,Paytm,other
2968.69,22,4,8,Big Bazaar,other
236.43,5,3,3,Namma Metro,transport
1089.47,14,0,8,More Supermarket,other
4554.29,5,5,4,Netflix,bills
322.21,16,5,0,Tea Stall,entertainment
1262.94,5,3,6,Decathlon,entertainment
937.34,10,4,8,Big Bazaar,other
105.86,22,0,2,Rapido,transport
648.68,5,0,7,Nykaa,entertainment
318.83,8,0,2,Ola,transport
1132.65,0,4,7,Nykaa,entertainment
1352.99,14,3,7,Crossword,entertainment
564.96,17,2,6,BookMyShow,other
4143.74,1,1,9,Reliance Fresh,other
89.78,1,5,2,Ola,bills
1722.44,2,0,8,Practo,other
171.0,9,4,0,McDonald's,food
969.35,14,5,8,PhonePe,other
556.32,9,2,8,Amazon,other
523.87,13,6,5,Spotify,bills
697.91,8,2,8,Apollo Pharmacy,entertainment
3509.56,19,0,9,1mg,other
446.71,2,3,0,Tea Stall,food
1507.22,19,6,9,D-Mart,other
4976.11,11,1,5,Society Maintenance,bills
3673.01,15,3,8,PhonePe,other
360.12,6,0,3,Auto Rickshaw,transport
686.05,19,3,1,Chai Point,food
1631.48,6,0,6,Decathlon,bills
399.29,9,2,2,BMTC,transport
130.04,21,2,8,Big Bazaar,other
3156.38,0,6,5,Society Maintenance,bills
462.69,15,3,3,Namma Metro,transport
166.54,14,6,1,Dunzo,food
3941.55,13,5,9,Paytm,other
473.71,21,2,0,KFC,food
2929.25,10,6,9,1mg,other
4235.39,10,3,4,Water Bill,transport
3067.88,5,4,9,Google Pay,other
281.21,10,5,0,Subway,food
422.79,7,2,1,Zomato,food
510.67,9,1,6,PlayStation Store,entertainment
633.34,2,3,0,Swiggy,food
2550.27,6,2,8,More Supermarket,entertainment
689.68,10,1,6,Decathlon,entertainment
557.54,4,1,0,Swiggy Instamart,food
698.61,3,0,1,Chai Point,food
4270.84,2,2,4,Netflix,bills
1089.1,21,5,7,PVR Cinemas,entertainment
4482.14,10,1,4,Netflix,bills
173.19,14,5,2,IndiGo,transport
255.23,0,4,0,McDonald's,food
2758.39,17,2,9,1mg,other
4059.02,18,1,5,Amazon Prime,bills
279.48,1,1,3,Namma Metro,other
87.84,12,0,0,Tea Stall,food
578.51,18,5,0,McDonald's,food
731.43,6,5,6,PlayStation Store,entertainment
745.8,22,3,9,Google Pay,entertainment
533.31,14,3,0,Tea Stall,food
433.33,19,2,2,Rapido,transport
4602.79,10,6,5,Amazon Prime,bills
512.82,3,2,4,Jio,bills
636.29,11,4,6,INOX,entertainment
2087.86,22,6,9,Flipkart,other
103.19,9,4,0,Tea Stall,food
553.29,7,4,6,Ajio,entertainment
51.71,6,6,2,Indian Railways,transport
2879.33,10,4,8,SBI ATM,other
57.39,22,4,2,Ola Electric,transport
979.53,17,0,7,Crossword,entertainment
232.25,3,5,6,Ajio,entertainment
1704.3,20,5,8,SBI ATM,other
485.58,20,6,0,Haldirams,transport
161.91,17,2,0,Tea Stall,food
471.77,21,2,7,Nykaa,entertainment
3461.56,13,5,4,YouTube Premium,bills
237.98,16,3,5,Society Maintenance,bills
197.23,17,0,2,Ola,transport
784.02,3,6,1,Pizza Hut,food
2271.67,18,3,5,Electricity Bill,bills
2030.89,17,1,4,ICICI EMI,bills
286.6,11,6,3,Auto Rickshaw,transport
355.13,2,5,6,INOX,entertainment
415.03,13,1,0,Haldirams,food
361.89,14,6,0,Subway,food
981.01,16,3,9,Google Pay,other
1841.01,5,3,8,SBI ATM,other
3681.48,22,4,9,Reliance Fresh,entertainment
2966.07,1,0,4,Gas Bill,bills
654.51,15,5,9,HDFC Bank ATM,other
444.81,8,3,1,Chai Point,food
1301.63,20,5,9,Flipkart,other
648.57,9,4,0,Swiggy Instamart,food
633.9,15,3,0,Swiggy Instamart,food
3695.69,13,2,9,Google Pay,other
3535.94,19,5,4,Jio,bills
1449.39,20,3,5,Society Maintenance,bills
3315.97,9,6,8,Amazon,other
721.42,2,6,9,Flipkart,entertainment
1547.95,8,0,5,Society Maintenance,bills
493.83,4,5,0,Haldirams,food
596.38,22,1,6,INOX,entertainment
1737.83,10,0,6,Decathlon,entertainment
422.05,13,6,2,Rapido,transport
1479.4,5,1,7,Nykaa,entertainment
366.2,8,6,9,HDFC Bank ATM,other
407.17,15,5,0,Blinkit,entertainment
3557.48,15,2,8,Zepto,other
25.69,14,3,2,Indian Railways,transport
4788.14,3,4,4,Netflix,bills
3129.94,20,6,4,ICICI EMI,bills
4050.92,8,5,4,Water Bill,bills
3408.93,7,5,8,Big Bazaar,other
1753.29,22,1,8,PhonePe,other
239.69,2,0,4,Netflix,bills
767.88,23,2,7,Nykaa,food
3172.73,1,4,4,Jio,bills
78.46,3,0,2,Ola Electric,transport
3842.9,20,4,8,Zepto,other
141.6,14,5,2,Rapido,transport
796.44,13,5,0,Haldirams,food
554.26,1,3,4,Hotstar,bills
590.65,8,1,6,BookMyShow,entertainment
846.01,20,3,7,Crossword,transport
373.44,19,5,0,Subway,food
244.25,1,0,1,Chai Point,food
632.93,0,3,0,KFC,food
467.79,21,3,2,Ola,transport
4542.07,18,0,5,HDFC EMI,bills
2504.33,13,3,8,Big Bazaar,other
338.32,22,6,0,Swiggy,food
1876.58,11,2,6,Decathlon,entertainment
4985.67,20,0,4,Netflix,bills
585.27,14,6,5,HDFC EMI,bills
2861.04,12,5,4,BSNL,bills
450.3,20,5,2,Indian Railways,transport
3237.03,23,1,4,YouTube Premium,bills
134.47,12,0,3,Air India,food
2716.31,14,0,9,Paytm,other
640.83,1,3,1,Burger King,food
550.49,14,5,0,Tea Stall,food
1241.63,2,0,9,Google Pay,other
246.19,19,0,2,Ola,transport
26.9,20,0,2,Rapido,transport
2389.14,5,6,5,Airtel,bills
2536.0,19,1,9,Flipkart,food
303.01,23,5,0,Blinkit,food
1137.18,10,6,7,Crossword,entertainment
103.25,2,0,3,Air India,transport
1005.81,11,4,4,ICICI EMI,bills
39.54,3,6,3,Air India,transport
176.59,15,0,8,Apollo Pharmacy,other
538.82,9,3,1,Chai Point,food
371.87,8,4,7,Steam,entertainment
1260.02,1,4,6,INOX,entertainment
476.14,20,6,3,Air India,transport
2876.57,6,0,4,Jio,bills
1873.32,17,4,9,Google Pay,other
336.48,8,0,2,Ola Electric,transport
348.92,15,3,2,Rapido,transport
45.93,11,2,2,Ola,transport
316.07,14,0,3,Namma Metro,transport
453.02,5,6,0,Haldirams,food
103.14,7,5,1,Zomato,food
896.23,23,5,7,Myntra,entertainment
1764.76,3,1,5,Airtel,bills
1793.59,2,3,6,Ajio,entertainment
2235.74,6,4,8,More Supermarket,other
359.17,23,1,7,Myntra,entertainment
1811.61,1,5,5,Electricity Bill,bills
4273.09,14,3,9,Flipkart,transport
445.48,19,1,3,Auto Rickshaw,transport
4853.67,7,0,9,Google Pay,other
1738.18,6,4,7,Nykaa,entertainment
127.56,13,5,6,PlayStation Store,entertainment
298.14,18,1,2,Indian Railways,transport
4902.9,1,3,8,SBI ATM,other
2448.42,22,6,8,SBI ATM,other
112.32,0,5,1,Dominos,food
780.97,7,5,6,INOX,entertainment
577.48,18,5,0,McDonald's,bills
3881.99,22,3,9,Paytm,entertainment
320.87,22,5,3,Namma Metro,transport
338.66,22,2,1,Zomato,food
1421.97,19,4,8,Big Bazaar,entertainment
3454.86,19,2,8,Big Bazaar,other
555.99,1,0,0,Haldirams,food
177.66,11,1,7,Crossword,entertainment
3575.75,6,1,8,PhonePe,other
3315.03,23,6,5,Airtel,bills
1127.99,23,6,9,D-Mart,other
261.71,13,2,2,BMTC,transport
414.67,16,6,1,Dunzo,bills
558.73,17,2,0,Swiggy Instamart,food
457.87,14,0,7,PVR Cinemas,entertainment
266.28,2,0,0,McDonald's,food
258.24,6,4,2,Rapido,transport
456.08,4,3,0,Tea Stall,food
3294.13,9,1,5,Amazon Prime,bills
760.59,20,2,1,Pizza Hut,transport
1023.68,21,5,7,Myntra,entertainment
2344.23,18,1,9,Paytm,other
1287.78,11,2,4,Water Bill,bills
391.94,5,4,0,KFC,food
107.49,5,6,2,BMTC,transport
39.75,10,4,3,Uber,transport
108.56,17,5,3,Namma Metro,transport
160.96,14,4,1,Burger King,food
461.81,12,3,3,Uber,transport
94.91,23,4,3,Namma Metro,transport
1548.23,9,6,9,D-Mart,other
2869.63,14,2,8,Big Bazaar,other
80.06,21,4,0,Haldirams,food
513.14,7,3,0,Blinkit,food
3277.94,18,4,5,Society Maintenance,food
113.94,2,4,2,BMTC,transport
1954.1,12,1,7,PVR Cinemas,entertainment
1071.96,1,5,7,Crossword,entertainment
4298.11,11,3,5,Amazon Prime,bills
1678.12,14,6,5,HDFC EMI,bills
4963.73,14,2,9,D-Mart,entertainment
369.73,13,1,2,Indian Railways,transport
1118.14,15,6,8,Apollo Pharmacy,other
4672.45,18,6,9,Flipkart,other
887.58,17,3,6,PlayStation Store,entertainment
1076.36,12,2,8,Apollo Pharmacy,other
4148.62,18,2,9,Reliance Fresh,other
526.59,0,1,7,Nykaa,entertainment
4204.2,15,0,4,Netflix,bills
4552.51,20,1,5,LIC Premium,bills
419.79,2,4,0,KFC,food
2292.56,8,5,5,Society Maintenance,bills
809.08,23,4,7,PVR Cinemas,entertainment
486.24,4,2,0,McDonald's,food
779.03,1,2,6,INOX,entertainment
4784.71,1,2,4,YouTube Premium,bills
567.84,6,6,4,YouTube Premium,bills
381.26,17,2,3,Air India,transport
4039.21,8,5,4,Netflix,bills
4151.73,0,1,5,HDFC EMI,other
2476.01,10,1,8,Big Bazaar,other
215.84,6,6,0,Swiggy Instamart,food
4767.23,17,5,9,Reliance Fresh,other
658.44,14,0,8,Big Bazaar,other
63.03,11,2,0,Haldirams,food
4470.58,19,4,5,LIC Premium,bills
337.07,3,1,4,Water Bill,bills
350.26,9,1,2,Rapido,transport
223.91,3,0,3,Uber,transport
373.44,6,0,0,Subway,food
494.88,15,0,0,Swiggy Instamart,food
248.32,3,6,4,Netflix,bills
490.7,6,1,1,Dominos,food
3781.5,8,4,5,Spotify,transport
2602.55,23,4,5,Spotify,bills
67.57,18,6,3,Uber,transport
193.66,9,1,1,Chai Point,food
1148.68,16,6,8,More Supermarket,food
451.74,21,0,7,Crossword,entertainment
223.56,16,1,2,Indian Railways,transport
334.87,3,4,7,Myntra,entertainment
358.27,17,5,3,Namma Metro,transport
338.59,14,4,1,Zomato,entertainment
2330.43,17,3,5,Spotify,bills
1105.36,2,6,4,ICICI EMI,bills
440.66,21,3,7,Myntra,entertainment
543.91,2,0,0,Swiggy Instamart,food
489.23,23,1,3,Air India,transport
303.97,19,6,1,Dominos,food
1477.88,8,6,6,Ajio,entertainment
3968.51,20,3,8,Big Bazaar,other
4760.62,15,4,5,Society Maintenance,bills
717.68,8,3,5,LIC Premium,bills
156.47,23,0,6,INOX,entertainment
779.05,12,4,0,Swiggy,food
3191.14,2,5,5,Society Maintenance,bills
2383.51,9,5,8,Big Bazaar,other
1130.63,17,4,6,PlayStation Store,entertainment
793.03,3,3,0,Swiggy,food
940.86,1,0,6,Ajio,entertainment
444.66,5,3,2,BMTC,transport
1026.16,3,4,6,Ajio,entertainment
1187.2,15,4,6,Decathlon,entertainment
146.43,18,3,2,Indian Railways,transport
4891.14,10,0,8,Big Bazaar,other
677.7,11,6,0,McDonald's,food
577.02,11,2,8,SBI ATM,bills
570.47,20,2,7,Steam,entertainment
1594.07,10,1,9,Reliance Fresh,food
395.68,13,4,0,Swiggy,food
199.97,15,4,8,Practo,other
477.77,10,4,0,Blinkit,food
568.15,6,2,1,Zomato,food
416.59,9,2,7,Myntra,entertainment
1696.72,17,1,7,PVR Cinemas,entertainment
4981.89,12,6,4,Water Bill,bills
364.5,18,0,3,Uber,transport
2875.5,16,3,9,Flipkart,other
1337.92,9,4,7,PVR Cinemas,entertainment
1703.41,13,3,4,Gas Bill,bills
3423.16,17,1,5,LIC Premium,bills
697.03,18,3,0,Swiggy Instamart,food
148.61,20,4,3,RedBus,transport
2225.25,18,5,8,More Supermarket,other
396.87,7,1,1,Burger King,food
1728.85,2,5,4,ICICI EMI,bills
415.38,20,1,2,BMTC,transport
2147.56,3,1,5,Electricity Bill,bills
252.98,13,3,3,RedBus,bills
152.32,8,6,0,KFC,food
3292.25,1,5,4,BSNL,bills
1733.21,2,2,6,BookMyShow,entertainment
4512.82,13,2,9,Flipkart,other
593.18,4,1,1,Pizza Hut,food
749.7,16,5,0,Swiggy Instamart,food
2673.77,15,0,8,More Supermarket,other
178.06,18,5,3,Namma Metro,transport
1877.45,6,1,7,Steam,entertainment
379.61,8,6,0,KFC,food
3528.13,3,2,9,HDFC Bank ATM,other
1307.1,8,6,8,Zepto,other
414.26,0,5,3,Namma Metro,transport
4595.54,21,1,9,D-Mart,food
3266.59,22,2,4,Water Bill,bills
693.24,12,0,1,Dominos,food
671.69,7,2,6,PlayStation Store,entertainment
459.63,20,2,2,Rapido,transport
1746.24,15,3,6,PlayStation Store,entertainment
1463.03,3,6,7,Myntra,entertainment
51.86,13,4,2,IndiGo,transport
3506.53,1,5,9,Paytm,other
85.32,12,1,2,Ola Electric,transport
731.09,7,4,5,Airtel,bills
216.95,10,3,2,Ola Electric,transport
595.29,21,4,6,INOX,entertainment
604.2,11,1,5,Electricity Bill,bills
526.53,0,4,7,Crossword,entertainment
535.99,14,1,8,More Supermarket,other
438.01,19,3,4,BSNL,bills
4794.36,5,4,9,Flipkart,other
630.02,14,6,0,Blinkit,other
462.03,8,2,7,Steam,entertainment
1727.04,19,1,6,Ajio,entertainment
2207.41,13,6,5,Electricity Bill,bills
316.49,7,2,3,Auto Rickshaw,bills
520.12,15,1,9,Paytm,other
3496.58,22,3,4,ICICI EMI,bills
238.81,17,0,6,PlayStation Store,entertainment
403.2,11,4,1,Dominos,food
323.01,8,4,8,Big Bazaar,other
3389.18,4,4,8,SBI ATM,other
177.4,15,2,0,KFC,food
1449.49,13,1,7,Myntra,entertainment
4896.86,15,6,4,Jio,bills
2263.84,8,4,4,YouTube Premium,bills
4484.72,10,5,4,ICICI EMI,bills
1155.78,21,5,6,INOX,entertainment
536.74,1,3,6,BookMyShow,transport
2294.3,15,0,5,LIC Premium,bills
1021.88,15,0,6,Decathlon,entertainment
117.79,9,1,3,Uber,transport
290.36,21,4,2,BMTC,transport
272.49,18,1,2,Ola,transport
1559.68,21,0,7,Steam,entertainment
1992.45,3,6,4,ICICI EMI,food
2408.58,22,5,5,Airtel,bills
1228.99,0,2,6,PlayStation Store,entertainment
293.69,23,5,1,Dunzo,food
338.54,20,2,9,Reliance Fresh,other
538.55,19,3,5,Amazon Prime,bills
230.06,12,0,0,McDonald's,food
341.38,12,2,0,McDonald's,food
404.53,23,6,3,RedBus,transport
829.31,21,0,5,Society Maintenance,bills
2337.57,12,3,5,LIC Premium,bills
632.16,13,6,4,ICICI EMI,bills
3226.92,2,0,4,ICICI EMI,bills
3414.56,20,5,9,Paytm,other
322.19,16,0,2,IndiGo,transport
4554.5,15,2,5,Airtel,bills
453.39,7,4,2,Ola Electric,transport
1146.89,1,4,6,BookMyShow,entertainment
120.86,21,5,0,Blinkit,food
1348.82,2,6,9,HDFC Bank ATM,other
3952.27,12,0,8,Apollo Pharmacy,entertainment
